town,county,total_enrollment,weighted_frpl_rate,county_median_income,low_confidence_flag,PC1,PC2,PC3,PC4,PC5,hardship_score
Whitingham,Windham,193.0,38.34,65473,0,1.7619651995832808,-0.729495044588876,-1.2407333082926661,0.2887240005278189,-0.6231393087697934,1.082
Williamstown,Orange,522.0,40.23,74534,0,0.596404315635405,0.8961579779543617,0.8966879522018079,0.08443832597491124,-0.24867218221554344,0.211
Williston,Chittenden,942.0,15.29,89494,0,-4.608096356000762,0.3895206774907527,0.8681339391565172,1.518937847780366,-2.3984705867480516,-3.09
Wilmington,Windham,181.0,43.09,65473,0,2.482671660998596,-0.7942337045609085,-0.8934559901384852,-0.4949407600626621,-0.8031439307661661,1.397
Windham,Windham,22.0,13.64,65473,1,-1.8682548876804754,-2.1528756143274763,-2.7922210869654,-1.1847603958184574,0.08284557968886097,-0.555
Windsor,Windsor,580.0,33.28,69492,0,-0.048231634699517925,-0.8560680418024218,0.1145621792682762,5.03141959311641,-1.3591197539013926,0.305
Winooski,Chittenden,787.0,60.1,89494,0,2.058835969667613,4.325986797437853,3.0679902812960633,0.032519577666486124,-1.1569235495313417,-0.119
Wolcott,Lamoille,121.0,20.66,69886,0,-1.8001695679799619,-1.4876010377923585,0.05727813442825199,-0.3743520490584915,0.9458863271668122,-0.576
Woodbury,Washington,55.0,18.18,77278,0,-2.482507778801423,-1.6013326388869251,0.03402856577415377,-0.6476322964026839,0.4622977750903385,-1.553
Woodstock,Windsor,718.0,9.47,69492,0,-3.7641879095140736,-0.12494209738924125,-1.0800824373102185,0.19724453205534315,0.39827603874939055,-1.274
Worcester,Washington,75.0,25.33,77278,0,-1.4441997084312874,-1.299578172325339,0.44336081996935023,-0.5680777707791281,0.26175406844203575,-1.079
