town,county,total_enrollment,weighted_frpl_rate,county_median_income,low_confidence_flag,PC1,PC2,PC3,PC4,PC5,hardship_score
Saint Johnsbury,Caledonia,702.0,52.42,62964,0,3.6942644379615888,0.5240202799688249,-0.7192682656420237,0.7520588634179034,-2.1103642577210797,2.292
Salisbury,Addison,65.0,47.69,85870,0,1.2036785444829337,-0.3632603087734606,3.9665111193117326,0.12375719862953675,0.5226546087633999,-0.543
Saxtons River,Windham,76.0,47.37,65473,0,3.1461304007738495,-0.8327631925257911,-0.6828256251246861,-0.7825961043216961,-0.6661902226235589,1.681
Shaftsbury,Bennington,245.0,36.73,68558,0,1.3488703844469159,-0.8851505626251188,-0.789037997722871,-0.28374154715659955,-0.6232813472436257,0.636
Sharon,Windsor,170.0,37.65,69492,0,0.8258251796471532,-0.8176614974323055,1.1097089844153927,-0.0492812820828723,0.5530123524302512,0.595
Sheffield,Caledonia,136.0,44.85,62964,0,2.8766403832917025,-0.8519104688348523,-1.1205730675642378,-0.743523593910485,-0.5830852075592268,1.79
Shelburne,Chittenden,736.0,13.72,89494,0,-4.71871197393754,-0.07350290380752013,0.8202842337316405,1.0030028443119086,-1.849049384874292,-3.194
Sheldon,Franklin,335.0,38.51,73633,0,0.9124489383069937,-0.46932262746835934,0.7419344452116455,0.2696892090795328,-0.5634751105484299,0.196
Shoreham,Addison,76.0,23.68,85870,0,-2.4079992882332126,-1.1996856485648975,2.423793311520793,-0.0646504738290622,0.9126559600716114,-2.135
South Burlington,Chittenden,2700.0,16.44,89494,0,-5.119948529134428,5.221770682269338,0.37438548833022395,-1.0598788865731033,-2.6075626923305566,-3.014
South Hero,Grand Isle,141.0,12.77,86639,0,-4.146922723067805,-1.4440054725894087,1.5659612397816576,-0.1165220763426925,0.8215188688602685,-2.943
South Pomfret,Windsor,91.0,13.19,69492,0,-2.9492845967216077,-1.5398514389319617,-0.4193999619179722,-0.5266304551073553,0.5580422789915473,-1.027
South Royalton,Windsor,356.0,43.26,69492,0,1.4962900454210704,0.6507599658084381,1.234657969540807,0.14848326384765242,0.454765271512172,0.967
South Strafford,Orange,126.0,23.02,74534,0,-1.6044360618248747,-1.353533443873133,0.3233844955223381,-0.35095144850440313,0.5257073367448214,-0.93
Springfield,Windsor,1219.0,50.53,69492,0,1.9971903704768539,4.4190809066877526,1.010345721544271,-0.6039071968467322,-0.2574111963913103,1.449
Starksboro,Addison,106.0,29.25,85870,0,-1.7222582197069694,-0.8968079605395217,2.5046012508148716,-0.1473447171124103,0.5806614223240579,-1.765
Stockbridge,Windsor,45.0,35.56,69492,1,0.5011551315188864,-1.106145394034751,0.8219779228019493,-0.5167252845891418,0.7936042595552016,0.456
Stowe,Lamoille,790.0,7.72,69886,0,-4.272450427130371,1.0036157141858346,-1.055578812307656,-0.595107195867738,0.15814887073304768,-1.434
Stramford,Bennington,74.0,27.03,68558,0,-0.007939781344438764,-1.5678356964535636,-1.3768047458039998,-0.7947126220322858,-0.02687853127996904,-0.007
Sutton,Caledonia,113.0,42.48,62964,0,2.55441222274221,-0.9897838205931183,-1.2240265090663038,-0.7875774696380189,-0.457523704028859,1.633
Swanton,Franklin,1400.0,38.07,73633,0,0.31448033841890816,1.9593656880901489,0.1606126344259667,1.2608957080924512,-1.5952804510476812,0.167
