town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,anomaly,anomaly_score,PC1,PC2
Wilmington,Windham,1,High Hardship - Rural Poor,43.09,181.0,65473,0,0.1553309401792673,2.482671660998596,-0.7942337045609085
Glover,Orleans,1,High Hardship - Rural Poor,42.06,107.0,63981,0,0.15560385256828552,2.6285130078915415,-1.103465309625106
Stockbridge,Windsor,3,Moderate - Mixed Profile,35.56,45.0,69492,0,0.15598810675992147,0.5011551315188864,-1.106145394034751
South Pomfret,Windsor,5,Low Hardship - Affluent Areas,13.19,91.0,69492,0,0.1560654093056988,-2.9492845967216077,-1.5398514389319615
Rochester,Windsor,3,Moderate - Mixed Profile,45.24,84.0,69492,0,0.15628009520812802,2.0667034318496125,-0.7329732896626348
East Montpelier,Washington,5,Low Hardship - Affluent Areas,13.42,231.0,77278,0,0.1565682355652563,-3.262183307011727,-1.4403795139411584
Readsboro,Bennington,2,Elevated Hardship - Small Towns,33.33,39.0,68558,0,0.15724393443920326,0.9248462024195832,-1.399615986698095
Middlesex,Washington,5,Low Hardship - Affluent Areas,16.53,121.0,77278,0,0.15810312047399683,-2.681297910743767,-1.562864053357614
Middletown Springs,Rutland,2,Elevated Hardship - Small Towns,36.99,73.0,62641,0,0.15821298341127932,1.5118529618807504,-1.1947848489642114
Wells,Rutland,2,Elevated Hardship - Small Towns,38.1,84.0,62641,0,0.1585743763815391,1.6740044247852182,-1.134493062674941
West Fairlee,Orange,3,Moderate - Mixed Profile,44.16,77.0,74534,0,0.1592511730413323,1.7087730848043183,-0.7310380385225224
Mount Holly,Rutland,2,Elevated Hardship - Small Towns,29.52,105.0,62641,0,0.1594217814719982,0.3625048059534281,-1.396569744133892
Williamstown,Orange,3,Moderate - Mixed Profile,40.23,522.0,74534,0,0.1594923450212079,0.596404315635405,0.8961579779543617
Putney,Windham,2,Elevated Hardship - Small Towns,39.56,182.0,65473,0,0.1596119981414429,1.9538165683555249,-0.9184171601221732
Brookfield,Orange,5,Low Hardship - Affluent Areas,21.13,71.0,74534,0,0.15980197907422344,-1.8297346838568984,-1.5386004112445006
Braintree,Orange,3,Moderate - Mixed Profile,44.44,81.0,74534,0,0.1599330176917826,1.628828741873742,-0.6733520654301791
Stramford,Bennington,2,Elevated Hardship - Small Towns,27.03,74.0,68558,0,0.1610789815147679,-0.0079397813444387,-1.5678356964535636
Cuttingsville,Rutland,2,Elevated Hardship - Small Towns,35.14,74.0,62641,0,0.16209312730901126,1.3688529133715046,-1.30790840971738
Thetford,Orange,5,Low Hardship - Affluent Areas,13.46,208.0,74534,0,0.1622181591747266,-3.1081566220165775,-1.5254320786656144
Warren,Washington,5,Low Hardship - Affluent Areas,19.01,142.0,77278,0,0.16241925672284407,-2.3730798028291833,-1.4141309850146122
East Barre,Washington,3,Moderate - Mixed Profile,35.06,77.0,77278,0,0.1624473366262496,-0.1245606541400381,-0.6431464981473834
Quechee,Windsor,5,Low Hardship - Affluent Areas,18.72,203.0,69492,0,0.16280745805833413,-2.0480667685371596,-1.4244607479702984
Barnet,Caledonia,2,Elevated Hardship - Small Towns,39.26,135.0,62964,0,0.16337775752020461,2.2203852530611807,-1.117921229253287
Worcester,Washington,5,Low Hardship - Affluent Areas,25.33,75.0,77278,0,0.16392101732367131,-1.4441997084312874,-1.299578172325339
Dorset,Bennington,2,Elevated Hardship - Small Towns,26.79,168.0,68558,0,0.16397327119196753,-0.0982486549463727,-1.3910340403193768
West Pawlet,Rutland,1,High Hardship - Rural Poor,43.48,138.0,62641,0,0.16399893279352867,2.458666106459424,-0.8385824459881082
Fairfield,Franklin,5,Low Hardship - Affluent Areas,17.86,252.0,73633,0,0.16516821934147285,-2.207880580769736,-1.3450754794132092
Hartland,Windsor,3,Moderate - Mixed Profile,31.32,281.0,69492,0,0.16618898979066682,-0.1122021427552691,-0.8523266214325383
Sheldon,Franklin,3,Moderate - Mixed Profile,38.51,335.0,73633,0,0.16649019147973287,0.9124489383069936,-0.4693226274683593
Ludlow,Windsor,3,Moderate - Mixed Profile,43.68,87.0,69492,0,0.16699873251777758,1.6849140787861303,-0.7299519129106988
Proctorsville,Windsor,3,Moderate - Mixed Profile,38.1,84.0,69492,0,0.1675839235039568,0.9647802005017828,-0.9765876558814488
Waterville,Lamoille,3,Moderate - Mixed Profile,38.27,81.0,69886,0,0.1684150008868452,0.8487763630667197,-0.9302636085721856
Ascutney,Windsor,3,Moderate - Mixed Profile,28.63,262.0,69492,0,0.1685717749724588,-0.5312301243882306,-0.9767910094661902
Highgate Center,Franklin,3,Moderate - Mixed Profile,31.87,273.0,73633,0,0.1690926369262603,-0.0729679321554062,-0.8189310505658969
Pittsford,Rutland,2,Elevated Hardship - Small Towns,35.56,180.0,62641,0,0.16951999661325762,1.1484624042077225,-1.0049300945222
Roxbury,Washington,3,Moderate - Mixed Profile,33.33,51.0,77278,0,0.169763695710412,-0.1639386275871811,-1.08357853462238
Shaftsbury,Bennington,2,Elevated Hardship - Small Towns,36.73,245.0,68558,0,0.17012675640853397,1.348870384446916,-0.8851505626251188
Chelsea,Orange,3,Moderate - Mixed Profile,37.23,94.0,74534,0,0.17188283064904053,0.4579440012074319,-0.6231078713347762
Castleton,Rutland,2,Elevated Hardship - Small Towns,33.47,251.0,62641,0,0.17218493721993605,0.9085435241027738,-0.9807182141683256
