town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,hardship_score,PC1,PC2,PC3,PC4,PC5
Quechee,Windsor,5,Low Hardship - Affluent Areas,18.72,203.0,69492,-0.66,-2.0480667685371596,-1.4244607479702984,-0.1381904080620648,-0.1582932259392834,0.7833922224610571
Fairlee,Orange,5,Low Hardship - Affluent Areas,25.86,116.0,74534,-0.742,-1.1352200903241736,-1.2828740012269533,0.5795138349323549,-0.2958258032167535,0.5430164517660322
South Strafford,Orange,5,Low Hardship - Affluent Areas,23.02,126.0,74534,-0.93,-1.6044360618248747,-1.353533443873133,0.3233844955223381,-0.3509514485044031,0.5257073367448214
Cambridge,Lamoille,5,Low Hardship - Affluent Areas,14.17,120.0,69886,-1.006,-2.7096003977410343,-1.744306434331398,-0.2254116187939098,-0.3323361692406882,1.141034165091395
South Pomfret,Windsor,5,Low Hardship - Affluent Areas,13.19,91.0,69492,-1.027,-2.9492845967216077,-1.5398514389319615,-0.4193999619179722,-0.5266304551073553,0.5580422789915473
Brookfield,Orange,5,Low Hardship - Affluent Areas,21.13,71.0,74534,-1.056,-1.8297346838568984,-1.5386004112445006,0.2684811076063074,-0.4617694719626595,0.7290961596526532
Worcester,Washington,5,Low Hardship - Affluent Areas,25.33,75.0,77278,-1.079,-1.4441997084312874,-1.299578172325339,0.4433608199693502,-0.5680777707791281,0.2617540684420357
Waterbury,Washington,5,Low Hardship - Affluent Areas,25.0,400.0,77278,-1.101,-1.6936661792871632,-0.669000889020788,0.3348078920987515,0.217882676747424,-0.5582785604464129
Reading,Windsor,5,Low Hardship - Affluent Areas,11.76,34.0,69492,-1.122,-3.001597240870133,-2.0010827904194635,-0.5692035530929526,-0.6549519489538137,1.3147744686179537
Brownsville,Windsor,5,Low Hardship - Affluent Areas,11.11,63.0,69492,-1.165,-3.0975301498665293,-1.9752105314284112,-0.5750082573518472,-0.5561212386021924,1.2793587761125298
Fairfield,Franklin,5,Low Hardship - Affluent Areas,17.86,252.0,73633,-1.173,-2.207880580769736,-1.3450754794132092,-0.7103234361665325,-0.2330815350044444,-0.0837401424468066
