town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
Gilman,Essex,60.0,1,1,60.0,small,1,0,0,0,55.0,55.0,0.0,55.00000000000001,,,0.0,0.0,55.0,55.0,13.2,55247,16.2,41.8,1,-1.834,1.478,3.312,1,0,0
Glover,Orleans,107.0,1,1,107.0,small,1,0,0,0,42.06,19.63,22.43,42.05607476635514,,,0.0,0.0,42.1,42.1,9.8,63981,13.7,32.26,1,-0.873,0.62,1.493,0,0,0
Grafton,Windham,46.0,1,1,46.0,very_small,1,0,0,0,45.65,34.78,10.87,45.65217391304348,,,0.0,0.0,45.7,45.7,12.6,65473,13.5,33.05,1,-0.709,0.858,1.567,0,0,1
Grand Isle,Grand Isle,140.0,1,1,140.0,small,1,0,0,0,22.86,22.86,0.0,22.857142857142858,,,0.0,0.0,22.9,22.9,7.4,86639,9.7,15.46,1,1.621,-0.653,-2.274,0,0,0
Greensboro,Orleans,41.0,1,1,41.0,very_small,1,0,0,0,24.39,24.39,0.0,24.390243902439025,,,0.0,0.0,24.4,24.4,9.8,63981,13.7,14.59,1,-0.873,-0.551,0.322,0,0,1
Guilford,Windham,141.0,1,1,141.0,small,1,0,0,0,22.7,21.28,1.42,22.69503546099291,,,0.0,0.0,22.7,22.7,12.6,65473,13.5,10.1,1,-0.709,-0.664,0.045,0,0,0
Hardwick,Caledonia,542.0,2,0,271.0,large,1,0,1,0,31.18,29.15,2.03,34.024896265560166,,28.903654485049834,13.01,5.1,28.9,34.0,11.8,62964,14.1,19.38,1,-0.985,-0.101,0.884,0,0,0
Hartland,Windsor,281.0,1,1,281.0,medium,1,0,0,0,31.32,18.51,12.81,31.316725978647685,,,0.0,0.0,31.3,31.3,8.7,69492,9.0,22.62,1,-0.267,-0.092,0.175,0,0,0
Highgate Center,Franklin,273.0,1,1,273.0,medium,1,0,0,0,31.87,22.34,9.52,31.868131868131865,,,0.0,0.0,31.9,31.9,10.4,73633,11.6,21.47,1,0.189,-0.056,-0.245,0,0,0
Hinesburg,Chittenden,1831.0,2,0,915.5,very_large,1,0,1,0,16.6,13.87,2.73,22.529644268774703,,14.339622641509434,33.62,8.2,14.3,22.5,11.2,89494,7.6,5.4,1,1.935,-1.068,-3.003,0,0,0
